광역,시군구,거리명,추천입력_대표음식,매칭키워드,유형,거리소개,주소,위도,경도,점포수,지정연도,운영상태,데이터구분,출처기관,출처URL,원출처,신뢰도,검증메모,매칭기준,추천활용,위치범위,위치유형,위치검증출처,위치검증등급,위치검증메모
광주,광산구,송정떡갈비거리,떡갈비,"떡갈비,송정떡갈비",음식거리,광주송정역 인근 떡갈비 전문점 밀집 거리,광주광역시 광산구 광산로29번길(송정동) 일원,35.1396182,126.7943822,,,운영,신규,광주관광/광산구청,https://tour.gwangju.go.kr/home/tour/mytour/open.cs?act=view&courseId=64&m=300&pageIndex=51&searchCondition=&searchKeyword=,웹 검증,A,광주관광이 음식의 거리로 명시. 약 200m·10여 전문점 안내.,특정 음식 직접 매칭 가능,Y,광산로29번길 일원,대표 권역 포인트,https://tour.gwangju.go.kr/home/tour/mytour/open.cs?act=view&courseId=190&m=300&pageIndex=40&searchCondition=&searchKeyword=,A,대표부근 표시용 좌표: 공식 위치 확인 + 대표부근 좌표
광주,동구,무등산보리밥거리,보리밥,"보리밥,보리밥정식",음식거리,무등산 옛길 인근 보리밥 전문점 밀집 거리,광주광역시 동구 지산동 691-67 인근,35.1492465,126.9447994,,,운영,신규,광주관광/동구청,https://tour.gwangju.go.kr/home/tour/mytour/open.cs?act=view&courseId=64&m=300&pageIndex=51&searchCondition=&searchKeyword=,웹 검증,A,광주관광이 음식의 거리로 명시하고 주소·관리기관을 제공.,특정 음식 직접 매칭 가능,Y,지산동 691-67 인근,대표 권역 포인트,https://tour.gwangju.go.kr/home/tour/mytour/open.cs?act=view&courseId=74&m=300&pageIndex=52&searchCondition=&searchKeyword=,A,대표부근 표시용 좌표: 공식 위치 확인 + 대표부근 좌표
광주,북구,유동오리탕거리(오리요리의거리),오리탕,"오리탕,오리요리",음식거리,광주 명물음식 오리탕 전문업소가 밀집된 대표거리,광주광역시 북구 경양로87번길 8-5,35.16126499,126.9056156,12.0,2003.0,기존 데이터,기존,광주광역시 북구청,,광주광역시_북구_지역특화거리_20251128 (1).csv,A,기존 공공 지역특화거리 원자료의 오리요리의거리. 사용자 입력 매칭은 대표 메뉴인 오리탕으로 정규화.,특정 음식 직접 매칭 가능,Y,유동·신안동 경양로 일대,공식 대표주소+거리권역,https://tour.gwangju.go.kr/home/tour/info/village/003.cs?act=view&infoId=696,A+,광주관광 공식 음식의 거리 페이지 대표주소로 보정.
전남,강진군,병영 돼지불고기거리,돼지불고기,"돼지불고기,병영돼지불고기",남도음식거리,강진 병영면 돼지불고기 특화 음식거리,전라남도 강진군 병영면 삼인리 316-1 부근,34.7138,126.8164,,,운영,신규,전라남도,https://www.남도음식명가.kr,웹 검증,A+,전라남도 남도음식거리 공식 지정 목록에 포함.,특정 음식 직접 매칭 가능,Y,병영서가네 식당~세류교 약 350m 구간,대표 권역 포인트,https://www.yna.co.kr/view/AKR20201228050100054,A,대표부근 표시용 좌표: 사용자 지정 대표권역 · 병영면 삼인리 부근
전남,고흥군,나로도삼치거리,삼치,"삼치,삼치회,삼치구이",음식거리,나로도 일대 삼치 전문 음식거리,전라남도 고흥군 봉래면 나로도항 부근,34.464867,127.4536834,,,운영,신규,고흥군청,https://www.goheung.go.kr/index.do,웹 재검증,A+,"고흥군 공식 홈페이지에서 나로도에 삼치거리가 조성되어 있음을 확인했고, 2026년 군 예산에도 나로도삼치거리 전기요금 항목이 확인됨.",특정 음식 직접 매칭 가능,Y,나로도항 일원,대표 권역 포인트,https://www.facebook.com/goheunggun/posts/,A,대표부근 표시용 좌표: 사용자 지정 대표권역 · 나로도항 부근
전남,고흥군,녹동장어거리,장어,"장어,장어구이,장어탕,붕장어,갯장어",음식거리,녹동구항 음식거리 일부를 유럽풍의 옥외음식 영업가능 거리로 조성,전라남도 고흥군 도양읍 비봉로 177,34.5256702381,127.1357485953,12.0,2017.0,기존 데이터,기존,고흥군청,https://www.goheung.go.kr/index.do,전라남도_고흥군_지역특화거리_20231207.csv,A+,고흥군 공식 홈페이지에서 녹동항 일원 녹동장어거리와 장어전문점 밀집을 확인. 2026년 예산에도 남도음식거리(녹동장어거리) 유지 확인.,특정 음식 직접 매칭 가능,Y,전라남도 고흥군 도양읍 비봉로 177,공공데이터 대표주소,전라남도_고흥군_지역특화거리_20231207.csv,A,공공 지역특화거리 원자료 대표주소·좌표
전남,곡성군,압록 참게·은어거리,참게매운탕,"참게,참게매운탕,은어,은어회",남도음식거리,섬진강 압록 일대 참게·은어 전문 음식거리,전라남도 곡성군 오곡면 압록리 섬진강 부근,35.1964348,127.3735115,,,운영,신규,곡성군/전라남도,https://www.gokseong.go.kr/tour/amusement/eatery/amnok_street,웹 검증,A+,"곡성군 문화관광에서 별도 음식거리로 운영, 남도음식거리 지정.",특정 음식 직접 매칭 가능,Y,오곡면·죽곡면 섬진강로~압록유원지~대황강로 일대,대표 권역 포인트,https://www.gokseong.go.kr/tour/amusement/eatery/amnok_street,A+,대표부근 표시용 좌표: 사용자 지정 대표권역 · 압록리 섬진강 부근
전남,광양시,광양불고기 특화거리,광양불고기,"광양불고기,불고기",음식거리,광양숯불구이 축제가 열리는 서천변 일대 특화거리,전라남도 광양시 서천1길,34.96947056,127.579099,48.0,2011.0,기존 데이터,기존,전라남도 광양시청,,전라남도_광양시_지역특화거리_20260612 (1).csv,A,기존 공공 지역특화거리 원자료. 신규 웹 검증 대상 아님.,특정 음식 직접 매칭 가능,Y,전라남도 광양시 서천1길,공공데이터 대표주소,전라남도_광양시_지역특화거리_20260612 (1).csv,A,공공 지역특화거리 원자료 대표주소·좌표
전남,구례군,화엄 자연밥상 음식거리,산채정식,"산채정식,버섯전골",남도음식거리,화엄사 입구 지리산 식재료 기반 자연밥상 음식거리,전라남도 구례군 마산면 화엄사 상가 부근,35.2428937,127.4876202,16.0,2025.0,조성,신규,전라남도,https://governor.jeonnam.go.kr/M7116/boardView.do?displayHeader=&infoReturn=&menuId=jeonnam0202000000&pageIndex=18&searchText=&searchType=&seq=1959228,웹 검증,A+,2025년 전라남도 남도음식거리 신규 선정. 공식 도청 보도자료 검색 결과로 확인.,특정 음식 직접 매칭 가능,Y,마산면 화엄사 입구 음식점 밀집구간,대표 권역 포인트,https://governor.jeonnam.go.kr/M7116/boardView.do?displayHeader=&infoReturn=&menuId=jeonnam0202000000&pageIndex=18&searchText=&searchType=&seq=1959228,A+,대표부근 표시용 좌표: 사용자 지정 대표권역 · 화엄사 상가지구 부근
전남,나주시,구진포 장어거리,장어구이,"장어,장어구이,장어요리",맛거리,나주 3대 맛거리 중 장어 특화거리,전라남도 나주시 다시면 구진포로 58 부근,35.0064691,126.6723063,,,운영,신규,나주시 문화관광,https://www.namdokorea.com/tour/info/area/areaList.do?area=AREA_NAJU&category1=food&menuCd=T002001004,웹 검증,A,전남 공식 관광 및 나주시 3대 맛거리에서 확인.,특정 음식 직접 매칭 가능,Y,다시면 구진포 영산강변 음식거리,대표 권역 포인트,https://www.namdokorea.com/tour/info/area/areaList.do?area=AREA_NAJU&category1=food&menuCd=T002001004,A+,대표부근 표시용 좌표: 사용자 지정 대표권역 · 구진포로 58 부근
전남,나주시,나주곰탕거리,나주곰탕,"나주곰탕,곰탕",맛거리,나주 3대 맛거리 중 곰탕 특화거리,전라남도 나주시 금성관길 8 일원,35.033273,126.7166164,,,운영,신규,나주시 문화관광,https://www.naju.go.kr/tour/food/taste_road,웹 검증,A,나주시가 나주3대 맛거리로 공식 운영.,특정 음식 직접 매칭 가능,Y,금성관 주변 곰탕거리,대표 권역 포인트,https://www.naju.go.kr/tour/food/taste_road,A,대표부근 표시용 좌표: 금성관 주변 곰탕거리 대표부근 좌표
전남,나주시,영산포 홍어거리,홍어,"홍어,숙성홍어,홍어삼합",남도음식거리,나주 3대 맛거리 및 남도음식거리,전라남도 나주시 영산포로 205-7 일원,34.9997155,126.7102035,,2023.0,운영,신규,나주시/전라남도,https://www.naju.go.kr/tour/food/restaurant/korean?idx=451&mode=view,웹 검증,A+,나주시 3대 맛거리이며 2023년 남도음식거리 선정·조성.,특정 음식 직접 매칭 가능,Y,영산포 홍어 음식점 밀집구간,대표 권역 포인트,https://www.namdokorea.com/tour/info/area/areaList.do?area=AREA_NAJU&category1=food&menuCd=T002001004,A+,대표부근 표시용 좌표: 영산포 홍어거리 대표부근 좌표
